UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode
3362,February 26 2019,DOG,Bull dog,,M,FALSE,Bronx,10456
3364,February 27 2019,DOG,Pit Bull,3,M,FALSE,Bronx,10462
3365,March 03 2019,DOG,Rottweiler,3 YRS,M,TRUE,Bronx,10466
3366,February 28 2019,DOG,Pug,9,M,TRUE,Bronx,10468
3368,March 01 2019,DOG,Yorkshire Terrier,4,M,TRUE,Bronx,10457
3369,March 02 2019,DOG,Yorkshire Terrier,10,M,FALSE,Bronx,10463
3373,March 06 2019,DOG,Mixed/Other,2,M,FALSE,Bronx,10467
3383,March 13 2019,DOG,American Pit Bull Terrier/Pit Bull,5,M,TRUE,Bronx,10460
3385,March 09 2019,DOG,German Shepherd,1,M,FALSE,Bronx,10466
3386,March 10 2019,DOG,BULL / PIT BULL MIX,2,M,TRUE,Bronx,10465
3387,March 10 2019,DOG,Yorkshire Terrier,7,M,FALSE,Bronx,10461
3388,March 09 2019,DOG,Mixed/Other,7,M,FALSE,Bronx,10461
3390,March 18 2019,DOG,CHIEN MIX,3,M,TRUE,Bronx,10457
3391,March 17 2019,DOG,Mixed/Other,7,M,FALSE,Bronx,10453
3392,March 20 2019,DOG,Mixed/Other,7,M,FALSE,Bronx,10456
3393,March 21 2019,DOG,Shih Tzu,2,M,FALSE,Bronx,10467
3396,March 18 2019,DOG,Boxer,,M,FALSE,Bronx,10456
3397,March 24 2019,DOG,SHEPERD,6M,M,FALSE,Bronx,10462
3402,March 25 2019,DOG,Maltese,3,M,FALSE,Bronx,
3406,February 20 2019,DOG,Pit Bull,7M,M,TRUE,Bronx,10473
3409,March 29 2019,DOG,Shiba Inu,6M,M,FALSE,Bronx,10465
3410,March 30 2019,DOG,Yorkshire Terrier,5,M,FALSE,Bronx,10475
3417,March 26 2019,DOG,,20,M,FALSE,Bronx,10471
3421,April 04 2019,DOG,Pit Bull,5,M,FALSE,Bronx,10455
3437,April 14 2019,DOG,SMALL MIXED BREED,2,M,FALSE,Bronx,10463
3440,April 14 2019,DOG,Rottweiler,2,M,TRUE,Bronx,10461
3441,April 16 2019,DOG,Rottweiler,2,M,TRUE,Bronx,10461
3453,April 24 2019,DOG,Pit Bull,1,M,FALSE,Bronx,10462
3454,April 28 2019,DOG,LARGE MIXED BREED,3,M,FALSE,Bronx,10454
3455,April 28 2019,DOG,SHIH TZU / CHIHUAHUA MIX,3,M,FALSE,Bronx,10472
3457,April 26 2019,DOG,Pit Bull,7,M,FALSE,Bronx,10459
3458,April 27 2019,DOG,,3,M,FALSE,Bronx,10467
3459,April 25 2019,DOG,Pit Bull,2,M,FALSE,Bronx,10467
3462,April 21 2019,DOG,Wheaton Terrier,8,M,TRUE,Bronx,10464
3468,April 27 2019,DOG,CHIHUAHUA X,3,M,FALSE,Bronx,10463
3469,May 07 2019,DOG,LABRADOR/WEINMARANER,3,M,FALSE,Bronx,10461
3472,April 26 2019,DOG,Maltese,10,M,TRUE,Bronx,10462
3473,April 30 2019,DOG,PIT BULL BLUE NOSE,5,M,FALSE,Bronx,10463
3476,May 11 2019,DOG,LAB / HUSKY / PIT BULL MIX,4,M,FALSE,Bronx,10461
3479,May 02 2019,DOG,Cotton De Tulear,5 YRS,M,FALSE,Bronx,10463
